,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017","D018","D019","D020","D021","D022","D023","D024","D025","D026","D027","D028","D029","D030","D031","D032","D033","D034","D035","D036","D037","D038","D039","D040","D041","D042","D043","D044","D045","D046","D047","D048","D049"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:"
"Id","Id2","Geography",,,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over",,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
"1000000US060750101002007",60750101002007,"Block 2007, Block Group 2, Census Tract 101, San Francisco County, California",430,186,13,13,20,10,10,4,2,7,9,4,9,6,14,9,12,7,3,2,5,9,9,7,2,244,9,16,18,13,6,1,2,8,13,11,13,21,21,15,14,6,7,7,9,16,12,5,1
"1000000US060750101002008",60750101002008,"Block 2008, Block Group 2, Census Tract 101, San Francisco County, California",19,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,2,10,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,3,1
"1000000US060750101002009",60750101002009,"Block 2009, Block Group 2, Census Tract 101, San Francisco County, California",38,19,0,2,0,0,0,0,0,0,7,3,2,2,0,1,0,0,0,1,1,0,0,0,0,19,0,0,0,0,0,0,0,4,7,0,0,0,0,4,4,0,0,0,0,0,0,0,0
"1000000US060750101002010",60750101002010,"Block 2010, Block Group 2, Census Tract 101, San Francisco County, California",281,132,3,1,1,0,0,0,1,5,19,23,15,13,12,10,10,1,7,1,6,1,1,2,0,149,5,2,1,0,1,0,1,9,33,25,15,13,7,8,9,2,8,3,2,0,2,1,2
"1000000US060750101002011",60750101002011,"Block 2011, Block Group 2, Census Tract 101, San Francisco County, California",61,33,0,1,0,0,0,0,0,0,11,3,4,5,2,0,0,0,1,0,1,1,1,2,1,28,0,1,0,0,0,0,0,4,9,3,3,1,0,1,0,0,0,0,2,1,1,0,2
"1000000US060750101002012",60750101002012,"Block 2012, Block Group 2, Census Tract 101, San Francisco County, California",43,17,1,1,0,0,0,0,0,0,4,2,3,3,0,0,0,0,0,0,1,1,1,0,0,26,1,0,0,1,0,0,0,3,4,4,1,5,3,0,0,1,1,0,2,0,0,0,0
"1000000US060750101002013",60750101002013,"Block 2013, Block Group 2, Census Tract 101, San Francisco County, California",93,43,1,2,1,0,0,0,0,2,10,3,6,1,5,2,3,0,3,3,1,0,0,0,0,50,1,2,0,0,0,0,0,7,7,7,3,1,3,5,4,2,2,0,2,0,1,1,2
"1000000US060750101002014",60750101002014,"Block 2014, Block Group 2, Census Tract 101, San Francisco County, California",85,42,0,0,1,1,0,0,0,1,9,5,5,7,6,2,0,0,0,0,0,1,0,4,0,43,0,1,0,1,1,0,0,3,10,3,2,7,3,1,1,0,2,0,2,1,4,0,1
"1000000US060750101002015",60750101002015,"Block 2015, Block Group 2, Census Tract 101, San Francisco County, California",44,21,0,2,1,0,0,0,1,0,3,3,1,2,2,2,1,1,0,0,0,1,1,0,0,23,1,0,1,0,0,0,1,2,4,3,1,0,3,2,0,0,0,0,1,3,0,0,1
"1000000US060750101002016",60750101002016,"Block 2016, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
