,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:"
"Id","Id2","Geography",,,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races",,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races"
"1000000US060750102001011",60750102001011,"Block 1011, Block Group 1, Census Tract 102, San Francisco County, California",173,164,128,0,0,23,0,1,12,9,6,0,1,0,0,1,1
"1000000US060750102001012",60750102001012,"Block 1012, Block Group 1, Census Tract 102, San Francisco County, California",161,151,132,0,0,17,0,1,1,10,8,0,0,1,0,1,0
"1000000US060750102001013",60750102001013,"Block 1013, Block Group 1, Census Tract 102, San Francisco County, California",98,94,79,0,0,8,0,0,7,4,4,0,0,0,0,0,0
"1000000US060750102001014",60750102001014,"Block 1014, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001015",60750102001015,"Block 1015, Block Group 1, Census Tract 102, San Francisco County, California",199,196,165,1,0,30,0,0,0,3,1,0,0,0,0,2,0
"1000000US060750102001016",60750102001016,"Block 1016, Block Group 1, Census Tract 102, San Francisco County, California",112,106,93,0,0,9,0,0,4,6,5,0,0,0,0,0,1
"1000000US060750102001017",60750102001017,"Block 1017, Block Group 1, Census Tract 102, San Francisco County, California",105,95,90,2,0,2,0,0,1,10,9,0,0,0,0,0,1
"1000000US060750102001018",60750102001018,"Block 1018, Block Group 1, Census Tract 102, San Francisco County, California",100,97,90,1,0,6,0,0,0,3,1,0,0,0,0,2,0
"1000000US060750102001019",60750102001019,"Block 1019, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001020",60750102001020,"Block 1020, Block Group 1, Census Tract 102, San Francisco County, California",217,212,195,1,0,11,2,0,3,5,3,2,0,0,0,0,0
"1000000US060750102002000",60750102002000,"Block 2000, Block Group 2, Census Tract 102, San Francisco County, California",185,174,150,1,0,18,0,0,5,11,8,1,0,0,0,2,0
"1000000US060750102002001",60750102002001,"Block 2001, Block Group 2, Census Tract 102, San Francisco County, California",202,192,170,2,0,18,0,0,2,10,9,0,0,0,0,0,1
"1000000US060750102002002",60750102002002,"Block 2002, Block Group 2, Census Tract 102, San Francisco County, California",236,225,197,3,1,16,0,0,8,11,9,0,1,0,0,0,1
"1000000US060750102002003",60750102002003,"Block 2003, Block Group 2, Census Tract 102, San Francisco County, California",211,205,171,0,0,24,0,0,10,6,5,0,0,0,0,1,0
"1000000US060750102002004",60750102002004,"Block 2004, Block Group 2, Census Tract 102, San Francisco County, California",203,188,166,1,0,16,0,0,5,15,13,0,0,0,0,1,1
"1000000US060750102002005",60750102002005,"Block 2005, Block Group 2, Census Tract 102, San Francisco County, California",299,282,250,2,0,23,1,1,5,17,13,0,0,0,0,2,2
"1000000US060750102002006",60750102002006,"Block 2006, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102002007",60750102002007,"Block 2007, Block Group 2, Census Tract 102, San Francisco County, California",191,180,155,2,1,16,0,0,6,11,10,0,0,0,0,1,0
"1000000US060750102002008",60750102002008,"Block 2008, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102002009",60750102002009,"Block 2009, Block Group 2, Census Tract 102, San Francisco County, California",412,387,331,3,1,40,2,1,9,25,19,1,0,1,0,2,2
